hospital_id,hospital_name,address,city,state,zip_code,hospital_type,hospital_ownership,mortality_rate,mortality_measures,readmission_rate,readmission_measures,infection_rate,infection_measures,patient_experience_score,experience_measures,mortality_score,readmission_score,infection_score,patient_exp_score,quality_score,star_rating,performance_category,state_rank,state_percentile,national_rank,national_percentile,category
000172,Presbyterian Hospital,4794 Maple Dr,City 102,OH,31039,Acute Care Hospitals,Government - State,22.48,6,25.368000000000002,5,1.5236666666666667,3,3,1,5.036167599290295,0,12.560139215886991,50,14.650885083758837,1,Poor,17,0,500,0,Worst Overall
000196,Methodist Healthcare System,7611 Oak Ave,City 104,UT,23408,Acute Care - Department of Defense,Government - Local,21.638333333333335,6,21.875,6,1.2542,5,2,1,9.631044993403378,20.111699677567955,29.11045142798649,25,20.194851274409626,1,Poor,15,0,499,0.2004008016032064,Worst Overall
000159,Mount Medical Hospital,2547 Elm St,City 163,AZ,94219,Acute Care Hospitals,Government - Local,17.4775,4,24.386666666666667,3,1.2229999999999999,3,2,1,32.346117101132805,5.650237985567344,31.026717166547243,25,23.87307391836849,1,Poor,22,0,498,0.4008016032064128,Worst Overall
000309,Mercy Healthcare System,7775 Elm St,City 126,LA,24395,Acute Care Hospitals,Government - Local,16.46,3,20.516666666666666,3,1.2836666666666667,3,1,1,37.900914426095255,27.93259634577001,27.300644897123547,0,25.178584638551964,1,Poor,20,0,497,0.6012024048096193,Worst Overall
000366,Memorial Medical Hospital,9214 Elm St,City 175,AZ,90309,Acute Care Hospitals,Voluntary non-profit - Private,22.9875,4,17.921666666666667,6,1.3615,6,3,1,2.2655930121468515,42.87386764931676,22.520217013000305,50,27.02819906922332,1,Poor,21,4.761904761904762,496,0.8016032064128256,Worst Overall
000361,Mount Healthcare System,6936 Elm St,City 32,WI,97201,Acute Care Hospitals,Voluntary non-profit - Other,17.99,4,23.176,5,0.7432,5,1,1,29.54824621263819,12.62091202210965,60.49544477428601,0,27.143563062890372,1,Poor,21,0,495,1.002004008016032,Worst Overall
000234,Sacred Heart Medical Center,5149 Main St,City 75,AL,40879,Acute Care Hospitals,Voluntary non-profit - Private,13.806666666666667,6,21.058,5,1.3596,5,1,1,52.38615167644783,24.815753109166295,22.63691268297677,0,27.579011950970113,1,Poor,17,0,494,1.2024048096192386,Worst Overall
000130,Sacred Heart Hospital,9461 Oak Ave,City 5,PA,85276,Acute Care Hospitals,Proprietary,18.5925,4,21.63,5,1.4413333333333334,3,3,1,26.259041899822563,21.5223399355136,17.616951581533428,50,27.662535449208526,1,Poor,20,0,493,1.402805611222445,Worst Overall
000333,Community Hospital,3593 Park Blvd,City 118,MD,51799,Acute Care Hospitals,Proprietary,18.078,5,17.8075,4,1.4994999999999998,4,2,1,29.06783130885765,43.53120681713496,14.04442624628929,25,28.114257658513356,1,Poor,14,0,492,1.6032064128256511,Worst Overall
000489,St. Healthcare System,5903 Oak Ave,City 57,OH,76315,Acute Care Hospitals,Voluntary non-profit - Private,15.21,3,17.875,4,1.6804999999999999,6,2,1,44.72498976388699,43.1425610317826,2.927628211690049,25,29.93504424003426,1,Poor,16,6.25,491,1.8036072144288577,Worst Overall
